AGILENT_CSV_DATA
HEADER_BEGIN
#
# ------------------------------------------------- 
#  Created: Dec 4, 2020 15:42:57
#  By: Keysight Logic Analyzer  
# ------------------------------------------------- 
#
VALUE_SEPARATOR=","
VALUE_FILL_IN=ZEROS  # ZEROS, ONES, PREVIOUS, or ERROR
TRIGGER_CORRELATION_OFFSET=0.000000000000000e+000
TRIGGER_ROW=936
NUM_ROWS=23239
TIME_SOURCE PERIOD=1.000000000000000e-008
COLUMN "dio" VALUE UNSIGNED_INTEGER HEX WIDTH_BITS=1
COLUMN "alert" VALUE UNSIGNED_INTEGER HEX WIDTH_BITS=1
COLUMN "clk" VALUE UNSIGNED_INTEGER HEX WIDTH_BITS=1
COLUMN "Time" TIME FLOAT EXPONENT=-12 ABSOLUTE
HEADER_END
1,1,0,-9360000 
1,1,0,-9350000 
1,1,1,-9340000 
1,1,1,-9330000 
1,1,0,-9320000 
1,1,0,-9310000 
1,1,1,-9300000 
1,1,1,-9290000 
1,1,0,-9280000 
1,1,0,-9270000 
1,1,1,-9260000 
1,1,1,-9250000 
1,1,0,-9240000 
1,1,0,-9230000 
1,1,1,-9220000 
1,1,1,-9210000 
1,1,0,-9200000 
1,1,0,-9190000 
1,1,1,-9180000 
1,1,1,-9170000 
1,1,0,-9160000 
1,1,0,-9150000 
1,1,1,-9140000 
1,1,1,-9130000 
1,1,0,-9120000 
1,1,0,-9110000 
1,1,1,-9100000 
1,1,1,-9090000 
1,1,0,-9080000 
1,1,0,-9070000 
1,1,1,-9060000 
1,1,1,-9050000 
1,1,0,-9040000 
1,1,0,-9030000 
1,1,1,-9020000 
1,1,1,-9010000 
1,1,0,-9000000 
1,1,0,-8990000 
1,1,1,-8980000 
1,1,1,-8970000 
1,1,0,-8960000 
1,1,0,-8950000 
1,1,1,-8940000 
1,1,1,-8930000 
1,1,0,-8920000 
1,1,0,-8910000 
1,1,1,-8900000 
1,1,1,-8890000 
1,1,0,-8880000 
1,1,0,-8870000 
1,1,1,-8860000 
1,1,1,-8850000 
1,1,0,-8840000 
1,1,0,-8830000 
1,1,1,-8820000 
1,1,1,-8810000 
1,1,0,-8800000 
1,1,0,-8790000 
1,1,1,-8780000 
1,1,1,-8770000 
1,1,0,-8760000 
1,1,0,-8750000 
1,1,1,-8740000 
1,1,1,-8730000 
1,1,0,-8720000 
1,1,0,-8710000 
1,1,1,-8700000 
1,1,1,-8690000 
1,1,0,-8680000 
1,1,0,-8670000 
1,1,1,-8660000 
1,1,1,-8650000 
1,1,0,-8640000 
1,1,0,-8630000 
1,1,1,-8620000 
1,1,1,-8610000 
1,1,0,-8600000 
1,1,0,-8590000 
1,1,1,-8580000 
1,1,1,-8570000 
1,1,0,-8560000 
1,1,0,-8550000 
1,1,1,-8540000 
1,1,1,-8530000 
1,1,0,-8520000 
1,1,0,-8510000 
1,1,1,-8500000 
1,1,1,-8490000 
1,1,0,-8480000 
1,1,0,-8470000 
1,1,1,-8460000 
1,1,1,-8450000 
1,1,0,-8440000 
1,1,0,-8430000 
1,1,1,-8420000 
1,1,1,-8410000 
1,1,0,-8400000 
1,1,0,-8390000 
1,1,1,-8380000 
1,1,1,-8370000 
1,1,0,-8360000 
1,1,0,-8350000 
1,1,1,-8340000 
1,1,1,-8330000 
1,1,0,-8320000 
1,1,0,-8310000 
1,1,1,-8300000 
1,1,1,-8290000 
1,1,0,-8280000 
1,1,0,-8270000 
1,1,1,-8260000 
1,1,1,-8250000 
1,1,0,-8240000 
1,1,0,-8230000 
1,1,1,-8220000 
1,1,1,-8210000 
1,1,0,-8200000 
1,1,0,-8190000 
1,1,1,-8180000 
1,1,1,-8170000 
1,1,0,-8160000 
1,1,0,-8150000 
1,1,1,-8140000 
1,1,1,-8130000 
1,1,0,-8120000 
1,1,0,-8110000 
1,1,1,-8100000 
1,1,1,-8090000 
1,1,0,-8080000 
1,1,0,-8070000 
1,1,1,-8060000 
1,1,1,-8050000 
1,1,0,-8040000 
1,1,0,-8030000 
1,1,1,-8020000 
1,1,1,-8010000 
1,1,0,-8000000 
1,1,0,-7990000 
1,1,1,-7980000 
1,1,1,-7970000 
1,1,0,-7960000 
1,1,0,-7950000 
1,1,1,-7940000 
1,1,1,-7930000 
1,1,0,-7920000 
1,1,0,-7910000 
1,1,1,-7900000 
1,1,1,-7890000 
1,1,0,-7880000 
1,1,0,-7870000 
1,1,1,-7860000 
1,1,1,-7850000 
1,1,0,-7840000 
1,1,0,-7830000 
1,1,1,-7820000 
1,1,1,-7810000 
1,1,0,-7800000 
1,1,0,-7790000 
1,1,1,-7780000 
1,1,1,-7770000 
1,1,0,-7760000 
1,1,0,-7750000 
1,1,1,-7740000 
1,1,1,-7730000 
1,1,0,-7720000 
1,1,0,-7710000 
1,1,0,-7700000 
1,1,1,-7690000 
1,1,1,-7680000 
1,1,0,-7670000 
1,1,0,-7660000 
1,1,1,-7650000 
1,1,1,-7640000 
1,1,0,-7630000 
1,1,0,-7620000 
1,1,1,-7610000 
1,1,1,-7600000 
1,1,0,-7590000 
1,1,0,-7580000 
1,1,1,-7570000 
1,1,1,-7560000 
1,1,0,-7550000 
1,1,0,-7540000 
1,1,1,-7530000 
1,1,1,-7520000 
1,1,0,-7510000 
1,1,0,-7500000 
1,1,1,-7490000 
1,1,1,-7480000 
1,1,0,-7470000 
1,1,0,-7460000 
1,1,1,-7450000 
1,1,1,-7440000 
1,1,0,-7430000 
1,1,0,-7420000 
1,1,1,-7410000 
1,1,1,-7400000 
1,1,0,-7390000 
1,1,0,-7380000 
1,1,1,-7370000 
1,1,1,-7360000 
1,1,0,-7350000 
1,1,0,-7340000 
1,1,1,-7330000 
1,1,1,-7320000 
1,1,0,-7310000 
1,1,0,-7300000 
1,1,1,-7290000 
1,1,1,-7280000 
1,1,0,-7270000 
1,1,0,-7260000 
1,1,1,-7250000 
1,1,1,-7240000 
1,1,0,-7230000 
1,1,0,-7220000 
1,1,1,-7210000 
1,1,1,-7200000 
1,1,0,-7190000 
1,1,0,-7180000 
1,1,1,-7170000 
1,1,1,-7160000 
1,1,0,-7150000 
1,1,0,-7140000 
1,1,1,-7130000 
1,1,1,-7120000 
1,1,0,-7110000 
1,1,0,-7100000 
1,1,1,-7090000 
1,1,1,-7080000 
1,1,0,-7070000 
1,1,0,-7060000 
1,1,1,-7050000 
1,1,1,-7040000 
1,1,0,-7030000 
1,1,0,-7020000 
1,1,1,-7010000 
1,1,1,-7000000 
1,1,0,-6990000 
1,1,0,-6980000 
1,1,1,-6970000 
1,1,1,-6960000 
1,1,0,-6950000 
1,1,0,-6940000 
1,1,1,-6930000 
1,1,1,-6920000 
1,1,0,-6910000 
1,1,0,-6900000 
1,1,1,-6890000 
1,1,1,-6880000 
1,1,0,-6870000 
1,1,0,-6860000 
